date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:17:39	3091/3091	---MCZ	200	added ('OK')	text/html	etag:W/%22c13-KLIerNt92svusIQEznsgZYL4i+8%22	https://tickettool.xyz/	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/index.html	(from )
18:17:39	162/162	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Apr%202020%2017:17:38%20GMT	https://tickettool.xyz/robots.txt		(from )
18:17:41	15406/15406	---MCZ	200	added ('OK')	image/x-icon	etag:W/%223c2e-16da9532edb%22	https://tickettool.xyz/assets/images/favicon.ico	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/assets/images/favicon.ico	(from https://tickettool.xyz/)
18:17:43	202203/202203	---MCZ	200	added ('OK')	text/css	etag:W/%22315db-16da952c48f%22	https://tickettool.xyz/assets/css/bootstrap.min.css	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/assets/css/bootstrap.min.css	(from https://tickettool.xyz/)
18:17:44	242326/242326	---MCZ	200	added ('OK')	text/css	etag:W/%223b296-16da952cafb%22	https://tickettool.xyz/assets/css/icons.min.css	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/assets/css/icons.min.css	(from https://tickettool.xyz/)
18:17:44	104846/104846	---MCZ	200	added ('OK')	text/css	etag:W/%221998e-16da952bc8f%22	https://tickettool.xyz/assets/css/app.min.css	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/assets/css/app.min.css	(from https://tickettool.xyz/)
18:17:45	70/70	---M--	302	error ('Found')	text/html	date:Wed,%2015%20Apr%202020%2017:17:44%20GMT	https://tickettool.xyz/login	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/login	(from https://tickettool.xyz/)
18:17:46	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2015%20Apr%202020%2017:17:45%20GMT	https://tickettool.xyz/auth/discord	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/auth/discord	(from https://tickettool.xyz/)
18:17:47	11175/11175	---M--	200	added ('OK')	image/png	etag:W/%222ba7-16da9533107%22	https://tickettool.xyz/assets/images/logo-light.png	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/assets/images/logo-light.png	(from https://tickettool.xyz/)
18:17:47	5601/5601	---M--	200	added ('OK')	image/png	etag:W/%2215e1-16da9533213%22	https://tickettool.xyz/assets/images/logo-sm.png	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/assets/images/logo-sm.png	(from https://tickettool.xyz/)
18:17:48	3201/3201	---MCZ	200	added ('OK')	text/html	etag:W/%22c81-2siBJ3SvLG4cnjAfNW8bw5wiloU%22	https://tickettool.xyz/premium	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/premium.html	(from https://tickettool.xyz/)
18:17:49	260/260	---M--	302	error ('Found')	text/html	date:Wed,%2015%20Apr%202020%2017:17:48%20GMT	https://tickettool.xyz/invite	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/invite	(from https://tickettool.xyz/)
18:17:50	96/96	---M--	302	error ('Found')	text/html	date:Wed,%2015%20Apr%202020%2017:17:49%20GMT	https://tickettool.xyz/support	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/support	(from https://tickettool.xyz/)
